,Link No,Name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
0,N1-1L,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,1062,11997,2701,5586,1497,4130,718,4459,5488,834,445,1977,0,38472,2422,40894
1,N1-2L,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822,0.822,LRPS,4175,4.175,3.353,1062,11997,2701,5586,1497,4130,718,4459,5488,834,445,1977,0,38472,2422,40894
2,N1-3L,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,176,5250,4237,4946,3461,3207,612,3299,4423,2122,147,2338,0,31733,2485,34218
3,N1-4L,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,327,5860,2926,5014,2812,2714,665,3527,5847,2305,728,2608,0,31997,3336,35333
4,N1-5L,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,327,9384,6699,6176,5199,4538,594,3684,6234,2297,728,2608,0,45132,3336,48468
5,N1-6L,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.999,327,9384,6699,6176,5199,4538,594,3684,6234,2297,728,2608,0,45132,3336,48468
6,N1-7L,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,327,9384,6699,6176,5199,4538,594,3684,6234,2297,728,2608,0,45132,3336,48468
7,N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.520,599,10313,2121,3420,1410,3310,799,4098,2484,424,68,327,0,28978,395,29373
8,N1-9L,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372,599,10313,2121,3420,1410,3310,799,4098,2484,424,68,327,0,28978,395,29373
9,N1-10L,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,599,10313,2121,3420,1410,3310,799,4098,2484,424,68,327,0,28978,395,29373
10,N1-11L,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,599,10313,2121,3420,1410,3310,799,4098,2484,424,68,327,0,28978,395,29373
11,N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388,6.922,707,9713,1779,3264,1198,1394,795,2175,1586,330,70,253,0,22941,323,23264
12,N1-13L,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388,LRP043,4955,47.224,1.836,707,9713,1779,3264,1198,1394,795,2175,1586,330,70,253,0,22941,323,23264
13,N1-14L,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,707,9713,1779,3264,1198,1394,795,2175,1586,330,70,253,0,22941,323,23264
14,N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,707,9713,1779,3264,1198,1394,795,2175,1586,330,70,253,0,22941,323,23264
15,N1-16L,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.360,707,9713,1779,3264,1198,1394,795,2175,1586,330,70,253,0,22941,323,23264
16,N1-17L,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.951,644,10858,1443,3687,928,1996,808,2257,3903,1109,224,358,0,27633,582,28215
17,N1-18L,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257,644,10858,1443,3687,928,1996,808,2257,3903,1109,224,358,0,27633,582,28215
18,N1-19L,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,644,10858,1443,3687,928,1996,808,2257,3903,1109,224,358,0,27633,582,28215
19,N1-20L,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,644,10858,1443,3687,928,1996,808,2257,3903,1109,224,358,0,27633,582,28215
20,N1-21L,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,615,11323,1618,2662,628,1038,539,1557,2841,754,136,287,0,23575,423,23998
