index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
0,,,0,23.7060278,90.443333,LRPS,Road,Road0,801.0217587
1,,,0.814,23.7029167,90.4504167,LRPSa,Road,Road1,16.4694458
2,,,0.822,23.7027778,90.4504722,LRPSb,Road,Road2,168.675599
3,,,1,23.7021389,90.4519722,LRP001,Road,Road3,797.9428931
0,A,11.3,1.8,23.69873866,90.45886108,LRP001a,Bridge,Bridge0,0
0,A,,1.8,23.69873866,90.45886108,LRP001a,Output@Bridge,Output@Bridge0,199.48824
4,,,2,23.6978886,90.4605833,LRP002,Road,Road4,125.1276473
5,,,2.13,23.6973608,90.4616667,LRP002a,Road,Road5,857.1422637
6,,,3,23.693833,90.4691382,LRP003,Road,Road6,983.1492541
7,,,4,23.6936108,90.4787771,LRP004,Road,Road7,179.7483261
8,,,4.175,23.6938052,90.4805271,LRP004a,Road,Road8,745.1855839
1,A,6.6,4.925,23.69466384,90.48777492,LRP004b,Bridge,Bridge1,0
1,A,,4.925,23.69466384,90.48777492,LRP004b,Output@Bridge,Output@Bridge1,74.5182933
9,,,5,23.6947497,90.4884997,LRP005,Road,Road9,996.9839463
10,,,6,23.6959163,90.4981941,LRP006,Road,Road10,987.0408632
11,,,7,23.697333,90.50775,LRP007,Road,Road11,168.7770735
12,,,7.181,23.6979163,90.5092778,LRP007a,Road,Road12,802.6184775
13,,,8,23.7020556,90.5157222,LRP008,Road,Road13,8.386277995
14,,,8.011,23.7021111,90.5157778,LRP008a,Road,Road14,415.6879701
15,,,8.429,23.7045833,90.5188327,LRP008b,Road,Road15,71.05395082
16,,,8.503,23.7050278,90.5193327,LRP009,Road,Road16,252.7259704
17,,,8.763,23.7060833,90.5215271,LRP009a,Road,Road17,206.3307506
12706,C,397,8.976,23.70505989,90.52321415,LRP008b,Bridge,Bridge12706,0
12706,C,,8.976,23.70505989,90.52321415,LRP008b,Output@Bridge,Output@Bridge12706,510.5039203
18,,,9.503,23.7025278,90.5273882,LRP010,Road,Road18,138.3690202
19,,,9.615,23.7015278,90.5281938,LRP010a,Road,Road19,317.621917
20,,,9.963,23.6998608,90.5307216,LRP010b,Road,Road20,413.7293506
21,,,10.377,23.6974163,90.5337774,LRP010c,Road,Road21,135.9480198
22,,,10.503,23.6966386,90.5348052,LRP011,Road,Road22,40.0333631
14585,B,8,10.543,23.69640009,90.53509898,LRP010a,Bridge,Bridge14585,0
14585,B,,10.543,23.69640009,90.53509898,LRP010a,Output@Bridge,Output@Bridge14585,337.2827099
3,A,6.3,10.88,23.69439061,90.53757408,LRP010b,Bridge,Bridge3,0
3,A,,10.88,23.69439061,90.53757408,LRP010b,Output@Bridge,Output@Bridge3,5.004216391
23,,,10.885,23.6943608,90.5376108,LRP011a,Road,Road23,11.801296
4,A,6.3,10.897,23.69430239,90.53770737,LRP010c,Bridge,Bridge4,0
4,A,,10.897,23.69430239,90.53770737,LRP010c,Output@Bridge,Output@Bridge4,392.395185
5,A,8.3,11.296,23.69236015,90.54091839,LRP011a,Bridge,Bridge5,0
5,A,,11.296,23.69236015,90.54091839,LRP011a,Output@Bridge,Output@Bridge5,16.71868211
24,,,11.313,23.6922774,90.5410552,LRP011b,Road,Road24,167.1077582
25,,,11.497,23.6918052,90.5426108,LRP012,Road,Road25,244.7944011
26,,,11.745,23.6911108,90.5448886,LRP012a,Road,Road26,26.23300438
27,,,11.771,23.6910552,90.5451386,LRP012b,Road,Road27,36.67814885
14586,B,10.6,11.808,23.69091193,90.5454625,LRP011c,Bridge,Bridge14586,0
14586,B,,11.808,23.69091193,90.5454625,LRP011c,Output@Bridge,Output@Bridge14586,126.8868207
28,,,11.936,23.6904163,90.546583,LRP012c,Road,Road28,300.6221035
