region,tornado_Fr,flood_Fr,earthquake_Fr,cyclone_Fr,flood_Class,earthquake_Class,cyclone_Class
Bagerhat,2,3,3,6,Non-flooding,Zone1,High-risk
Bandaban,0,2,8,0,Severe,Zone3,High-wind
Barguna,0,2,3,1,Non-flooding,Zone1,High-risk
Barishal,3,6,3,21,Severe,Zone1,High-risk
Bhola,2,4,3,5,Moderate,Zone1,High-risk
Bogra,1,6,10,0,Severe,Zone3,Non-affected
Brahmanbaria,0,6,5,0,Severe,Zone3,Non-affected
Chandpur,1,7,4,2,Severe,Zone2,High-wind
Chittagong,1,5,6,32,Severe,Zone2,High-risk
Chuadanga,0,1,3,0,Moderate,Zone2,Non-affected
Comilla,4,5,4,1,Severe,Zone2,High-wind
Cox's Bazar,1,3,6,25,Severe,Zone3,High-risk
Dhaka,8,6,4,0,Severe,Zone2,Non-affected
Dinajpur,0,3,3,0,Severe,Zone2,Non-affected
Faridpur,5,6,4,0,Severe,Zone2,Non-affected
Feni,1,4,3,1,Moderate,Zone2,High-risk
Gaibandha,4,6,13,0,Severe,Zone3,Non-affected
Gazipur,4,6,8,0,Moderate,Zone3,Non-affected
Gopalganj,3,6,3,0,Moderate,Zone1,High-wind
Hajiganj,0,7,12,0,Severe,Zone3,Non-affected
Jamalpur,4,7,19,0,Severe,Zone3,Non-affected
Jessore,2,1,2,0,Non-flooding,Zone1,Non-affected
Jhalkati,0,1,3,0,Non-flooding,Zone1,High-wind
Jhenaidah,0,0,2,0,Non-flooding,Zone2,Non-affected
Joypurhat,0,3,8,0,Moderate,Zone3,Non-affected
Khgrachari,0,0,5,0,Non-flooding,Zone3,High-wind
Khulna,3,0,3,19,Non-flooding,Zone1,High-risk
Kishoreganj,5,7,10,0,Severe,Zone3,Non-affected
Kurigram,1,7,16,0,Severe,Zone3,Non-affected
Kushtia,2,2,5,0,Severe,Zone2,Non-affected
Lakshmipur,1,5,1,0,Severe,Zone2,High-risk
Lalmonirhat,2,4,9,0,Moderate,Zone3,Non-affected
Madaripur,1,6,3,0,Severe,Zone2,High-wind
Magura,2,5,4,0,Moderate,Zone2,Non-affected
Manikganj,4,6,6,0,Severe,Zone2,Non-affected
Meherpur,1,1,4,0,Non-flooding,Zone2,Non-affected
Moulvibazar,1,7,17,0,Moderate,Zone3,Non-affected
Munshiganj,2,5,4,0,Severe,Zone2,Non-affected
Mymensingh,8,7,11,0,Moderate,Zone3,Non-affected
Naogaon,0,6,4,0,Severe,Zone2,Non-affected
Narail,4,6,4,0,Normal,Zone1,Non-affected
Narayanganj,1,6,3,0,Severe,Zone2,Non-affected
Narsingdi,0,6,5,0,Severe,Zone3,Non-affected
Natore,0,6,6,0,Severe,Zone2,Non-affected
Nawabganj,0,5,2,0,Severe,Zone2,Non-affected
Netrokona,1,6,19,0,Moderate,Zone3,Non-affected
Nilphamari,2,5,3,0,Moderate,Zone3,Non-affected
Noakhali,6,4,2,18,Moderate,Zone2,High-risk
Pabana,2,6,8,0,Severe,Zone2,Non-affected
Panchagarh,1,2,3,0,Non-flooding,Zone3,Non-affected
Pirojpur,1,2,3,0,Normal,Zone1,High-wind
Potualkali,0,0,3,12,Non-flooding,Zone1,High-risk
Rajbari,1,6,7,0,Severe,Zone2,Non-affected
Rajshahi,1,5,4,0,Severe,Zone2,Non-affected
Rangmati,0,1,6,0,Non-flooding,Zone3,High-wind
Rangpur,4,6,7,0,Severe,Zone3,Non-affected
Satkhira,0,1,3,5,Non-flooding,Zone1,High-risk
Shariatpur,3,6,3,0,Severe,Zone2,High-wind
Sherpur,1,6,21,0,Moderate,Zone3,Non-affected
Sirajganj,4,6,8,0,Severe,Zone3,Non-affected
Sunamganj,0,7,18,0,Severe,Zone3,Non-affected
Sylhet,0,7,16,0,Severe,Zone3,Non-affected
Tangail,2,7,9,0,Severe,Zone3,Non-affected
Thakurgoan,0,1,3,0,Non-flooding,Zone3,Non-affected
